Sex,Age,Exposure,Deaths,Baseline,Excess,Excess_lp,Excess_up,last_week
f,0,1012511.8,182.09331391907062,129.15388962984403,52.93942428922659,3,125.38498629581451,18.946665524651213
f,5,1157513.94,18.680310338821506,12.490959383072546,6.18935095574896,0,18.680310338821506,19.340155169410753
f,10,1199947.58,12,9.63992913680454,2.3600708631954603,0,12,19.761892366642602
f,15,1112797.1199999999,23,16.993880895343352,6.006119104656647,0,23,20.26079352493629
f,20,1111963.8,30,20.34480148046766,9.655198519532341,0,26,20.781473933878548
f,25,1250639.12,73.99466724226144,57.248114713259334,16.746552529002106,0,61.8288893685512,21.16577787371024
f,30,1418833.69,95.19173328487796,62.98522058671561,32.206512698162335,2,75.56552377491282,21.313104754982565
f,35,1748325.32,187,137.51721641637934,49.48278358362066,6,128,21.192166408776856
f,40,1966015.4300000002,266,215.30662708375397,50.693372916246034,0,141,20.939321331883928
f,45,1875046.8,525,434.97462170106326,90.02537829893676,13,226.02499999999995,20.84457434832019
f,50,1813844,875.6593299676683,716.0329428708492,159.62638709681914,43,348.09399359754684,20.94523491750276
f,55,1644712.78,1472.3751921925868,1116.5830420513498,355.792150141237,168.97500000000014,594.7002997410295,21.023286197966538
f,60,1418826.6300000001,2121.8153828892328,1610.013652879336,511.8017300098967,243.97500000000014,816.1076917795414,20.953846140964423
f,65,1257288.9,2476.555976403509,1821.0305795666227,655.5253968368862,414,965.164416084949,20.720763002654664
f,70,1163469.25,4113.355002727202,2663.472485447907,1449.8825172792951,1080.9750000000001,1834.5165645614559,20.411255518622035
f,75,881282.47,6052.917672571017,3908.164296040996,2144.753376530021,1696.9750000000001,2615.960729910838,20.205268934266922
f,80,827627.78,10476.01380434566,6691.505053976976,3784.5087503686855,3293.3216799815027,4425.061757373987,20.146667498843925
f,85,617161.08,17888.78310531,11241.187842313037,6647.595262996964,5842.875000000001,7503.929100427242,20.14113000610345
f,90,371671.36,24927.38407582256,15288.749066313096,9638.635009509464,8678.95,10672.740090018124,20.13767573259952
f,All,1966015.4300000002,71817.81956701446,46153.39422248687,25664.425344527597,21487.046679981504,30613.759353272813,21.313104754982565
m,0,1074288.2,203.66663811628032,131.63185207503494,72.03478604124537,8.733327623256063,146.93331049302424,18.946665524651213
m,5,1233440.8,7,4.470981702252095,2.529018297747905,0,7,19.340155169410753
m,10,1276446.3,6,4.031093641055108,1.968906358944892,0,5,19.761892366642602
m,15,1184986.17,9,5.8668035308284265,3.1331964691715735,0,8,20.26079352493629
m,20,1159874.91,56,43.89416714612632,12.105832853873679,2,41.024999999999956,20.781473933878548
m,25,1270098.02,66,52.316842671465686,13.683157328534316,0,44,21.16577787371024
m,30,1406763.3199999998,171.3834665697559,127.59396491555194,43.78950165420396,3,113.81794279484308,21.313104754982565
m,35,1753430.72,208.34149148963627,167.05147174106244,41.290019748573826,1,109.86832817553707,21.192166408776856
m,40,2016902.5899999999,547.6942106115893,466.1086379243474,81.58557268724186,8,239.08981997825893,20.939321331883928
m,45,1912448.63,948.4985017756941,746.278834210012,202.21966756568216,57,385.2947843596845,20.84457434832019
m,50,1804924.7000000002,1355.0448345228504,1102.7667954002113,252.27803912263917,81,457.57610785507177,20.94523491750276
m,55,1595539.41,2515.331232821776,1976.5563260795855,538.7749067421906,292,836.815599083778,21.023286197966538
m,60,1336992.11,3870.6769196375008,2931.7053788541057,938.9715407833951,568.9750000000001,1323.6038454711143,20.953846140964423
m,65,1146530.43,4760.436530822946,3327.2304876803805,1433.2060431425652,1056,1834.038150132733,20.720763002654664
m,70,1000802.5,7760.90480678401,5003.15449697093,2757.75030981308,2279.9500000000003,3279.493189765996,20.411255518622035
m,75,698998.81,10116.01866033066,6258.335756706256,3857.6829036244044,3294.9500000000003,4448.726673924549,20.205268934266922
m,80,564484.95,11594,6859.178797399165,4734.821202600835,4160.950000000001,5355,20.146667498843925
m,85,352691.49,13241,7888.013401562958,5352.986598437042,4750,5988.075,20.14113000610345
m,90,153719.19,12273,7492.054790730758,4780.945209269241,4222.950000000001,5403.05,20.13767573259952
m,All,2016902.5899999999,69709.9972934827,44588.24088094209,25121.756412540613,20786.508327623258,30026.40775203459,21.313104754982565
